lvl,position_code,ou,old_title,new_title,incumbent
4,POS-00000398,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Tommaso Conti
4,POS-00000366,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Giorgio Ricci
4,POS-00000320,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Martina Ricci
4,POS-00000333,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Gabriele Fiore
4,POS-00000332,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Paolo Mariani
4,POS-00000292,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Claudia Romano
4,POS-00000376,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Tommaso Caruso
4,POS-00000363,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Filippo Donati
4,POS-00000309,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Giorgio Fabbri
4,POS-00000389,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Beatrice Gentile
4,POS-00000387,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Simone Leone
4,POS-00000301,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Elena Fiore
4,POS-00000373,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Gabriele Giordano
4,POS-00000422,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Yuri Longo
4,POS-00000438,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Umberto Deluca
4,POS-00000298,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Michele Monti
4,POS-00000319,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Martina Caruso
4,POS-00000440,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Nicola Testa
4,POS-00000382,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Laura Moretti
4,POS-00000317,Divisione Commercial Banking,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Marco Ferri
4,POS-00000426,Divisione Commercial Banking,Investment Advisor,consulente finanziario,Zelda Martini
4,POS-00000429,Divisione Commercial Banking,Investment Advisor,consulente finanziario,Antonio Bernardi
4,POS-00000393,Divisione Commercial Banking,Investment Advisor,consulente finanziario,Matteo Esposito
4,POS-00000417,Divisione Commercial Banking,Investment Advisor,consulente finanziario,Daniele Mariani
4,POS-00000427,Divisione Commercial Banking,Investment Advisor,consulente finanziario,Lorenzo Rinaldi
4,POS-00000412,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Cristina Costa
4,POS-00000441,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Olivia Villa
4,POS-00000359,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Alessandro Gatti
4,POS-00000329,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Marta Pellegrini
4,POS-00000392,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Paolo Ferrara
4,POS-00000289,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Gabriele Santoro
4,POS-00000340,Divisione Commercial Banking,Security Specialist,operatore titoli/operatrice titoli,Giulia Caruso
4,POS-00000358,Divisione Commercial Banking,Security Specialist,operatore titoli/operatrice titoli,Noemi Santoro
4,POS-00000328,Divisione Commercial Banking,Security Specialist,operatore titoli/operatrice titoli,Pietro Sanna
4,POS-00000315,Divisione Commercial Banking,Security Specialist,operatore titoli/operatrice titoli,Matteo Pagano
4,POS-00000403,Divisione Human Resources,Bank Manager,direttore di banca/direttrice di banca,Valentina Conti
4,POS-00000431,Divisione IT & Digital,Bank Manager,direttore di banca/direttrice di banca,Quintino Bellini
4,POS-00000338,Divisione Operations,Bank Manager,direttore di banca/direttrice di banca,Luca Bianchi
4,POS-00000434,Divisione Retail Banking,Investment Advisor,consulente finanziario,Giovanni Marchetti
4,POS-00000383,Divisione Retail Banking,Investment Advisor,consulente finanziario,Filippo Costa
4,POS-00000327,Divisione Retail Banking,Investment Advisor,consulente finanziario,Sara Gallo
4,POS-00000380,Divisione Retail Banking,Investment Advisor,consulente finanziario,Noemi Marchetti
4,POS-00000308,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Filippo Greco
4,POS-00000400,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Filippo Colombo
4,POS-00000297,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Elisa Martini
4,POS-00000313,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Tommaso Esposito
4,POS-00000399,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Gabriele Fontana
4,POS-00000416,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Alessio Costa
4,POS-00000443,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Walter Giuliani
4,POS-00000334,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Claudia De Santis
4,POS-00000341,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Tommaso Palmieri
4,POS-00000316,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Silvia Mancini
4,POS-00000374,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Gabriele Ferrara
4,POS-00000302,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Marta Gatti
4,POS-00000367,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Simone Caruso
4,POS-00000424,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Federica Lombardi
4,POS-00000415,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Dario Fontana
4,POS-00000437,Divisione Risk & Compliance,Risk Analyst,analista del rischio di credito,Tatiana Conte
4,POS-00000397,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Giulia Monti
4,POS-00000322,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Alberto Serra
4,POS-00000425,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Paolo Barbieri
4,POS-00000409,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Filippo Galli
4,POS-00000432,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Roberta Benedetti
4,POS-00000336,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Elisa Monti
4,POS-00000291,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Andrea Martino
4,POS-00000326,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Laura Santoro
4,POS-00000337,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Matteo Lombardi
4,POS-00000357,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Riccardo Barbieri
4,POS-00000325,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Marco Conti
4,POS-00000311,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Luca Conti
4,POS-00000414,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Diego Fontana
4,POS-00000318,Divisione Risk & Compliance,Compliance Officer,esattore/esattrice,Davide Cattaneo
4,POS-00000442,Filiale Bergamo Centro,Security Specialist,operatore titoli/operatrice titoli,Alberto Messina
4,POS-00000423,Filiale Bergamo Centro,Security Specialist,operatore titoli/operatrice titoli,Emanuele Gentile
4,POS-00000406,Filiale Bergamo Centro,Security Specialist,operatore titoli/operatrice titoli,Beatrice Russo
4,POS-00000444,Filiale Bergamo Centro,Security Specialist,operatore titoli/operatrice titoli,Benedetta Cattaneo
4,POS-00000350,Filiale Brescia Centro,Security Specialist,operatore titoli/operatrice titoli,Alberto Colombo
4,POS-00000362,Filiale Brescia Centro,Security Specialist,operatore titoli/operatrice titoli,Roberta Rossi
4,POS-00000346,Filiale Brescia Centro,Security Specialist,operatore titoli/operatrice titoli,Valentina Moretti
4,POS-00000394,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Alessandro Pellegrini
4,POS-00000372,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Laura Ferrari
4,POS-00000410,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Silvia Martini
4,POS-00000343,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Pietro Barbieri
4,POS-00000391,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Davide Rinaldi
4,POS-00000381,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Roberta Gallo
4,POS-00000331,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Simone Russo
4,POS-00000312,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Alice Moretti
4,POS-00000377,Filiale Milano Centro,Bank Teller,addetto allo sportello bancario/addetta allo sportello bancario,Silvia Colombo
4,POS-00000344,Ufficio Crediti PMI,Bank Manager,direttore di banca/direttrice di banca,Cristina Gatti
4,POS-00000348,Ufficio Crediti PMI,Bank Manager,direttore di banca/direttrice di banca,Luca Leone
4,POS-00000295,Ufficio Crediti Retail,Bank Manager,direttore di banca/direttrice di banca,Cristina Lombardi
4,POS-00000404,Ufficio Crediti Retail,Bank Manager,direttore di banca/direttrice di banca,Riccardo Martini
5,POS-c550cecf,,HR Manager,(SPECIAL-maria.colombo@rtl-bank.org),Maria Colombo
